🔒 Row ID,Name,Photo,LinkedIn Profile,Organization,Job Title
QMA5djEnygYAIDZGiYS2,Sai Kiran,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/xtsNaj4lx6RAtF9ZSSyR.jpeg,,Catalyst2Xcellarate Pvt ltd,CHRO
uXHVrfYN1EjWbrGy3J8p,Indrani Nath,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/C4WDluVE4gW9wmyNZOlX.jpg,https://www.linkedin.com/in/indrani-nath-603a04148/,CHRMP,Senior Consultant - Value Creation & Delivery
nG8IXrMAUyW1EKoxshcF,Kunjvihari Jandhyala,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/rjIH3hRpOB0gsHRuPpoc.jpg,https://www.linkedin.com/in/kunjvihari-jandhyala-65500256/?originalSubdomain=in,TATA Power, Chief-Strategic HR
y2NW3hWXjcG6kZe9NXWy,Sivakumar B,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/NKLlCCzEB3ejcAc5FTDo.jpg,https://www.linkedin.com/in/sivakumar-b-33a21a6/,Sundaram Finance,Chief HR
USg3roMq01udiwWoawCg,Kameshwari Rao ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/QpToeI0egz8ZrEGPGU82.JPG,https://www.linkedin.com/in/kameshwari-rao-she-her-218524b/,Publicis Sapient,Chief People Officer
lw4qLp1dVADksKzlyPtj,Karthik Shenoi,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/PiY4MwMA8A7Spt94SlSC.jpg,https://www.linkedin.com/in/karthik-shenoi-6444451/,Eastern Engineering Co P Ltd,Senior Analyst Investments (SAI)
IN22EWQtzVMG4Ofxx1nm,Shanthi Naresh,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/xvXo6GtL7Sa1UbmvaJrf.jpg,linkedin.com/in/shanthinaresh, 2nd Careers,Co-founder
mlPWwNHGPUmTIpv81I9i,L Ganesh Kumar,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/d8Du9S9K7cD9sKj3DNT0.jpg,https://www.linkedin.com/in/ganeshkumarlaxminarayan/,iFocus Systec,CEO
GJqtg29YUratIEtTaF9q,Ravi Ranganathan,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/B5cZEXAFErGelFavuk7P.jpg,https://www.linkedin.com/in/ravi-ranganathan-67703b33/,TCS,"Head of Sales - APAC, Singapore"
buiET9G8VYwrsmLKMQVy,Swarup Chilumkuru,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/sy0e9DmAVnq8PNG7DW3h.jpg,https://www.linkedin.com/in/swarup-chilumkuru-4988044/,Gallagher,Gr VP
nufrmRNizyKOmlSBAruT,Prem Kumar C G ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/eYaKxgqKg9mSNMvza1oW.jpg,linkedin.com/in/premkumarcg,Hotfoot Tech,Director Data Intelligence
16R9nhgDj42FcwUC9wGJ,Divya Handa,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/92zA7SqQi5BDai7F1Pgb.jpg,https://www.linkedin.com/in/divya-handa-bses/,BSES,Head Employee Experience
ZoaRv94iPHOOs2iBGxMv,Subhashini Sriram,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/SGId4xRkg7XRhnmQMfCL.png,https://www.linkedin.com/in/subhashini-sriram-8895215/,Carelon Global Solutions,MD & Head of HR
MDHOi681HjYSznNu8AV7,M S Krishnan ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/OM8RHHdMRCL7JY5iSKu2.jpg,https://www.linkedin.com/in/m-s-krishnan/,Ross Business School USA,Accenture Prof
